datetime,average,volume
1295737200000,0.44,1148.4
1295823600000,0.41,11061.94
1295910000000,0.42,2163.72
1295996400000,0.41,15564.81
1296082800000,0.44,27708.2
1296169200000,0.43,5324.5
1296255600000,0.44,1448.38
1296342000000,0.46,10383.59
1296428400000,0.51,63516.08
1296514800000,0.74,31562.12
1296601200000,0.73,5627.48
1296687600000,0.71,8524.5
1296774000000,0.8,42222.19
1296860400000,0.86,15786.81
1296946800000,0.87,8744.11
1297033200000,0.86,2264.28
1297119600000,0.9,7021.29
1297206000000,0.96,49632.5
1297292400000,0.96,26559.64
1297378800000,0.99,13299.18
1297465200000,1.06,4118.92
1297551600000,1.05,3240.64
1297638000000,1.06,7096.55
1297724400000,1.05,8616.58
1297810800000,1.04,7192.38
1297897200000,1.04,4009.84
1297983600000,0.89,36948.16
1298070000000,0.91,3798.71
1298156400000,0.85,9974.05
1298242800000,0.84,1700.12
1298329200000,0.88,12095.26
1298415600000,0.9,6718.87
1298502000000,0.95,13418.69
1298588400000,0.96,4461.06
1298674800000,0.94,4744.41
1298761200000,0.93,23268.75
1298847600000,0.88,4651.67
1298934000000,0.95,22569.78
1299020400000,0.92,2741.87
1299106800000,0.92,2746.67
1299193200000,0.91,2711.89
1299279600000,0.88,12570.59
1299366000000,0.85,12626.49
1299452400000,0.89,15271.27
1299538800000,0.87,4527.85
1299625200000,0.85,4546.05
1299711600000,0.89,8869.01
1299798000000,0.89,3725.51
1299884400000,0.9,4822.83
1299970800000,0.9,660.31
1300057200000,0.89,5269.24
1300143600000,0.88,2732.16
1300230000000,0.85,7929.62
1300316400000,0.84,7159.78
1300402800000,0.77,14226.22
1300489200000,0.76,9875.04
1300575600000,0.77,5815.32
1300662000000,0.75,3695.96
1300748400000,0.78,12147.72
1300834800000,0.83,13262.26
1300921200000,0.88,14009.37
1301007600000,0.88,4819.42
1301094000000,0.87,11756.42
1301180400000,0.83,5337.15
1301263200000,0.81,12565.15
1301349600000,0.79,4215.02
1301436000000,0.79,3218.22
1301522400000,0.79,6875.08
1301608800000,0.78,3186.77
1301695200000,0.79,2493.59
1301781600000,0.78,3931.39
1301868000000,0.69,31155.46
1301954400000,0.67,9730.3
1302040800000,0.72,8703.95
1302127200000,0.75,10832.99
1302213600000,0.76,18207.3
1302300000000,0.74,12119.4
1302386400000,0.74,5348.98
1302472800000,0.77,14645.93
1302559200000,0.85,48417.6
